row,legacy_url,title,brand,match_method,ad_id
371,/advert/hmv/merry-christmas,Merry Christmas,HMV,external_id,92847a8f-18f7-4274-aa0d-cf2d3a1a5a23
576,/advert/formula-1/fia-2009-championship-dvd,FIA 2009 Championship DVD,Formula 1,external_id,4214cf23-cdb9-48d4-b99d-50b22cd0de47
604,/advert/xbox-360/the-beatles-rockband,The Beatles Rockband,Xbox 360,external_id,3517d396-f189-4a17-8b1a-65212afc04ab
910,/advert/lancome/genifique,Genifique,Lancome,external_id,554fc4a7-8510-4d6e-9db6-62ba05dbf93c
1098,/advert/hewlett-packard/dm3-notebook-pc,DM3 Notebook PC,Hewlett Packard,external_id,dc0c5a6a-bd57-4eb4-a7cd-18ce771cce6e
1239,/advert/burger-king/the-taste,The Taste,Burger King,external_id,f4b3f2af-e3ab-43ea-b956-049c6656ecee
1516,/advert/toshiba/t137-satellite,T137 Satellite,Toshiba,external_id,7f45eaf5-f418-433d-b781-a5695e1b05e1
1865,/advert/jeremy-clarkson/duel,Duel,Jeremy Clarkson,external_id,766e98bf-5317-4a0b-9865-31f1b29c3b4b
1961,/advert/asda/award-winning-whites,Award Winning Whites,Asda,external_id,2eedde31-e06d-4306-99cf-0f7f9b7efff1
2082,/advert/sunday-mirror/world-cup-2010,World Cup 2010,Sunday Mirror,external_id,141ebb07-c7e7-4574-b544-aacecdfdec5b
2392,/advert/olay/regenerist-3-point-treatment-cream,Regenerist 3 Point Treatment Cream,Olay,external_id,9c40435b-133f-490b-97e6-614e1ff9597a
2743,/advert/news-of-the-world/world-cup-2010,World Cup 2010,News Of The World,external_id,ea6c7bf2-1804-4a4f-a99e-fe3164f7047c
2774,/advert/schweppes/ginger-ale,Ginger Ale,Schweppes,external_id,c3737f87-71aa-4fa8-a8a0-360d0f647957
2994,/advert/avatar/the-game,The Game,Avatar,external_id,0b35057b-529c-4dc7-82dd-48cbf5605810
3254,/advert/try-another-language/spanish,Spanish,Try Another Language,external_id,f5352f5f-fc34-4691-8c0b-68f6114fdac8
3270,/advert/dfs/early-sale,Early Sale,DFS,external_id,f8c4e5ef-9cf7-4183-9b72-65849fb0cecc
4239,/advert/direct.gov.uk/the-policing-pledge,The Policing Pledge,Direct.gov.uk,external_id,46057165-1d2e-4876-afad-ca1fb7027ea0
4416,/advert/guerlain/idylle,Idylle,Guerlain,external_id,b791b945-9d53-4c3e-b4c7-bca13786398d
4472,/advert/boots/half-price-oral-b-toothbrushes,Half Price Oral-B Toothbrushes,Boots,external_id,a6915707-4fc3-4e8c-ab29-1a5853e55294
4643,/advert/citroen/c3---visiodrive,C3 - Visiodrive,Citroen,external_id,7cfd9e6a-a4a1-41f5-baa9-97a9abf72643
4990,/advert/nintendo-ds/legend-of-zelda-spirit-tracks,Legend Of Zelda Spirit Tracks,Nintendo DS,external_id,d6346500-90d3-485b-b688-5132d2478ff1
5587,/advert/canon/digital-ixus-200-is,Digital Ixus 200 IS,Canon,external_id,10cf6e46-76a1-4709-ad4e-67f831858c3b
6104,/advert/ealing-studios/st-trinian's-2---the-legend-of-fritton's-gold,St Trinian's 2 - The Legend Of Fritton's Gold,Ealing Studios,external_id,011f62c2-233a-4fe3-9f7b-e4fe50700cb9
6262,/advert/kfc/keep-the-fire-burning,Keep The Fire Burning,KFC,external_id,b828f196-dcdd-4e93-8993-91b28bd05a4f
